EntryHour,TotalEntryCount,generatorInterval_ms
0,37991,473.79642546919007
1,27797,647.5518940892902
2,24630,730.816077953715
3,27432,656.1679790026246
4,45796,393.04742772294526
5,108309,166.1911752485943
6,266515,67.5384124720935
7,503615,35.741588316471905
8,533915,33.7132315068878
9,454260,39.62488442742042
10,391460,45.98170949777755
11,337588,53.31943078545446
12,334196,53.860608744569056
13,379385,47.4452073750939
14,407178,44.20671057866584
15,428371,42.01965119020662
16,486607,36.99083654776853
17,516238,34.86763856980695
18,323315,55.67325982401064
19,202065,89.08024645534853
20,156660,114.89850631941785
21,120780,149.03129657228018
22,82692,217.67522855899
23,55822,322.4535129518828
